doc_id,text,incident_type,affected_raw,affected_individuals,credit_monitoring,retraining,technical_safeguards,media_notice
claim_65,"The covered entity (CE), The Neurological Institute of Savannah & Center for Spine, P.C., reported that it experienced a hacking attack that compromised the protected health information (PHI) of 32,548 individuals. The PHI involved included names, addresses, dates of birth, social security numbers, claims information, diagnoses/conditions, lab results, medications, and other treatment information. The CE notified HHS, affected individuals, and posted substitute notice on its website. In response to the breach, the CE implemented additional administrative, technical, and security safeguards. Staff were retrained. Prestonwood Baptist Church reported it experienced a cyber-attack that affected the protected health information of 501 individuals. After review, it was determined that Prestonwood Baptist Church is not a covered entity. Therefore, OCR closed the case.",Cyberattack,"32,548 individuals",32548,0,1,1,0
claim_66,"The covered entity (CE), Marc Irwin Sharfman, M.D., P.A., reported that its business associate (BA) was the subject of a breach that affected the protected health information (PHI) of 650 individuals. The PHI involved included demographic and financial information. The CE notified HHS, the affected individuals, and the media. In response to the breach, the CE provided complimentary credit monitoring services to the affected individuals and the BA implemented additional administrative, technical, and security safeguards to better protect PHI.",Other,650 individuals,650,1,0,1,1
claim_67,"The covered entity (CE), the City of Bristol, TN, reported that its business associate (BA) experienced a hacking incident that affected the protected health information (PHI) of 4,708 individuals. The PHI involved names, addresses, Social Security numbers, claims information, diagnoses/conditions, lab results, medications, and other treatment information.",Hacking,"4,708 individuals",4708,0,0,0,0
claim_68,"Network, the covered entity (CE), reported that it experienced a cyberattack that compromised the protected health information (PHI) of 845 individuals. The PHI involved included names, addresses, dates of birth, medical diagnoses and treatment information, medication information, vaccination status, health insurance information, and Social Security numbers. The CE notified HHS, affected individuals, the media, and posted substitute notice on its website. In its mitigation efforts, the CE enhanced its multifactor authentication protocols and closed the firewall port that had been vulnerable.",Cyberattack,845 individuals,845,0,0,0,1
claim_69,"The covered entity (CE), Charleston Fire Department, reported that an employee was the target of an email phishing scheme that affected the protected health information (PHI) of 2,583 individuals. The PHI involved demographic, clinical, and financial information. The CE notified HHS, the affected individuals, and the media. In response to the breach, the CE implemented additional safeguards, including multi-factor authentication, revised its policies procedures, and updated its HIPAA Security Rule Risk Analysis.",Phishing,"2,583 individuals",2583,0,0,0,1
claim_70,"The covered entity (CE), Union Health System, reported that it’s business associate (BA) experienced a hacking attack that compromised the protected health information (PHI) of 262,831 individuals. The PHI involved included names, addresses, drivers’ license and Social Security numbers, diagnoses/conditions, lab results and medications. The CE notified HHS, the affected individuals, the media, and provided substitute notice. In response to the breach, the CE provided complimentary credit monitoring services and implemented additional administrative, technical, and security safeguards to better protect PHI.",Other,"262,831 individuals",262831,1,0,1,1
claim_71,"The covered entity (CE), Horizon Behavioral Health, reported that it experienced a ransomware incident that affected the protected heath information (PHI) of 49,303 individuals. The PHI involved included names, dates of birth, social security numbers, drivers’ license numbers, diagnoses, medications, and claims information.",Ransomware,"49,303 individuals",49303,0,0,0,0
claim_72,"Baltimore, the covered entity (CE) reported that its business associate (BA) experienced a cybersecurity incident that affected the protected health information (PHI) of 28,968 individuals.",Cybersecurity incident,"28,968 individuals",28968,0,0,0,0
claim_73,"Health, the covered entity (CE), reported that it experienced a breach when an employee included the protected health information (PHI) of 1,152 individuals in quality assurance reports in violation of its minimum necessary policy. The PHI involved included medical record numbers, dates of birth, dates of service, health care providers, diagnoses, and other treatment information. The CE notified HHS, affected individuals, and the media. In its mitigation efforts, the CE amended and clarified its minimum necessary policy, trained staff on the revised policy, and sent out reminders to department directors not to include PHI in quality assurance reports.",Other,"1,152 individuals",1152,0,0,0,1
claim_74,"The covered entity (CE), WPM Pathology Laboratory, Chartered, reported that it experienced a hacking incident that affected the protected health information (PHI) of 5,694 individuals. The PHI involved included names, dates of birth, addresses, drivers’ license and Social Security numbers, and diagnoses and conditions. The CE notified HHS, affected individuals, and the media. In response to the breach, the CE implemented additional administrative, technical, and security safeguards.",Hacking,"5,694 individuals",5694,0,0,1,1
claim_75,"The covered entity (CE), Cardiology Associates of Fredericksburg, reported that it experienced a hacking incident that compromised the protected health information (PHI) of 75,476 individuals.",Hacking,"75,476 individuals",75476,0,0,0,0
claim_76,"Health, the covered entity (CE) reported that its business associate was the subject of a cyber-attack that affected the protected health information (PHI) of 2,253 individuals.",Cyberattack,"2,253 individuals",2253,0,0,0,0
claim_77,"LC, the covered entity (CE), reported that an employee was the subject of an email phishing scheme that compromised the protected health information (PHI) of 93,589 individuals. The PHI involved included names, addresses, dates of birth, drivers’ license and Social Security numbers, diagnoses/conditions, lab results, medications, and other treatment information. The CE notified HHS, affected individuals, the media, and posted substitute notice on its website. In its mitigation efforts, the CE implemented multi-factor authentication and provided additional employee training on phishing campaigns.",Phishing,"93,589 individuals",93589,0,1,0,1
claim_78,"The business associate (BA), Scharnhorst Ast Kennnard Griffin, P.C., reported that an employee was the target of an email phishing scheme that affected the protected heath information (PHI) of 639 individuals.",Phishing,639 individuals,639,0,0,0,0
claim_79,"Network, the covered entity (CE), reported that a physician impermissibly accessed the protected health information (PHI) 5,565 individuals without authorization. The PHI involved in the incident included names, addresses, dates of birth, diagnoses, and other treatment information. The CE notified HHS, affected individuals, and the media. Substitute notice was provided on the CE’s website. Upon discovering the incident, the CE sanctioned the physician and implemented additional administrative, technical, and security safeguards.",Other,"5,565 individuals",5565,0,0,1,1
claim_80,"The covered entity (CE), Yale New Haven Health System, reported that it experienced a hacking incident that affected the protected health information (PHI) of 5,556,702 individuals. The PHI involved included names, dates of birth, addresses, and Social Security numbers. The CE notified HHS, affected individuals, the media, and implemented substitute notice. In response to the breach, the CE implemented additional administrative, technical, and security safeguards.",Hacking,"5,556,702 individuals",5556702,0,0,1,1
claim_81,"The covered entity (CE), Whitman County Public Hospital District No. 3, reported that it experienced a cyber-attack that affected the protected health information (PHI) of 63,453individuals. The PHI involved included clinical and demographic information. The CE notified HHS, the affected individuals, the media, and provided substitute notice. In its mitigation efforts, the CE implemented additional administrative, technical, and security safeguards to better protect its PHI. In addition, the CE retrained its workforce members to better protect its PHI.",Cyberattack,NA,NA,0,1,1,1
claim_82,"The covered entity (CE), Boudreaux’s Specialty Compounding Pharmacy, reported that it was the subject of a ransomware attack that affected the protected health information (PHI) of 6,270 individuals.",Ransomware,"6,270 individuals",6270,0,0,0,0
claim_83,"Center, the covered entity (CE), reported that its business associate (BA) experienced a cyberattack that compromised the protected health information (PHI) of 8,309 individuals. The PHI involved included names, addresses, dates of birth, Social Security numbers, claims and financial information, and other treatment information. The CE notified HHS, affected individuals, and the media. In its mitigation efforts, the BA implemented additional administrative, technical, and security safeguards.",Cyberattack,"8,309 individuals",8309,0,0,1,1
claim_84,"The covered entity (CE), Erlanger Health, reported that its business associate (BA) experienced a ransomware incident that affected the protected health information (PHI) of 3,193 individuals. The PHI involved included names, addresses, Social Security numbers, dates of birth, and other treatment information. The CE notified HHS, the affected individuals, and the media, and posted substitute notice on its website. In response to the breach, the CE offered free credit monitoring to affected individuals.",Ransomware,"3,193 individuals",3193,1,0,0,1
claim_85,"The covered entity (CE), California Correctional Health Care Services, reported that a workforce member sent an unencrypted email containing the protected health information (PHI) of 4,105 individuals to the wrong recipients. The PHI involved included names, diagnoses, medications, and other treatment information. The CE notified HHS, affected individuals, and the media. In response to the breach, the CE retrained workforce members to better protect PHI.",Wrong recipient,"4,105 individuals",4105,0,1,0,1
claim_86,"The covered entity (CE), Benefits Partner, LLC dba Salus Group, reported that an employee was the target of an email phishing scheme that affected the protected health information (PHI) of 40,177 individuals. The PHI involved included names, dates of birth, addresses, drivers’ license and Social Security numbers, claims and financial information, and other treatment information. The CE notified HHS, affected individuals, the media, and provided substitute notice. In response to the breach, the CE implemented additional administrative, technical, and security safeguards.",Phishing,"40,177 individuals",40177,0,0,1,1
claim_87,"The covered entity (CE), Northeast Georgia Health System, reported that its business associate (BA) experienced a cybersecurity incident that compromised the protected health information (PHI) of 24,849 individuals. The PHI involved included names and addresses. The CE notified HHS, affected individuals, and the media. In response to the breach, the CE implemented additional administrative and technical safeguards.",Cybersecurity incident,"24,849 individuals",24849,0,0,1,1
claim_88,"The covered entity (CE), Hebrew Home for Aged Disabled dba San Francisco Campus for Jewish Living, reported that an employee was the subject of an email phishing attack that affected the protected health information (PHI) of 2,568 individuals. The PHI involved included names, addresses, dates of birth, medications, and other treatment information. The CE notified HHS, the affected individuals, the media, and provided substitute notice. In response to the breach, the CE provided complimentary credit monitoring services to the affected individuals and implemented additional administrative, technical, and security safeguards. Staff were retrained on email security.",Phishing,"2,568 individuals",2568,1,1,1,1
claim_89,"The covered entity (CE), Central Texas Pediatric Orthopedics, reported that it was the subject of a ransomware",Ransomware,NA,NA,0,0,0,0
