Web Description
"The covered entity (CE), Absentee Shawnee Tribal Health Authority, Inc., reported that its business associate (BA) experienced a cyber-attack that compromised the protected health information (PHI) of 1,112 individuals. The PHI involved demographic and clinical information. The CE notified HHS; the BA is notifying affected individuals and the media on the CE’s behalf. OCR provided technical assistance regarding the HIPAA Rules."
"The covered entity (CE), Gold Coast Health Plan, reported that its business associate (BA) experienced a cybersecurity incident that affected the protected health information (PHI) of 540 individuals. The PHI included demographic information. The CE notified HHS, affected individuals, and the media. In response to the breach, the CE and BA implemented additional administrative, technical, and security safeguards to better protect  PHI.

"

"The covered entity (CE), Share Ourselves, reported that its business associate (BA) experienced a cyber-attack that compromised the protected health information (PHI) of 2,864 individuals. The PHI involved demographic and clinical information. The CE notified HHS and affected individuals; the BA notified the media on the CE’s behalf. OCR provided technical assistance regarding the HIPAA Rules."
"Urology Associates of Green Bay, the covered entity (CE), reported that an employee made the email addresses of approximately 4,000 individuals viewable by others. The protected health information included email addresses only. The CE notified HHS, the affected individuals, and media. As part of its mitigation efforts, the CE retrained staff and implemented additional safeguards."
"The covered entity (CE), Variety Care, reported that its business associate (BA) experienced a cyber-attack that compromised the protected health information (PHI) of 17,163 individuals. The PHI involved demographic and clinical information. The CE notified HHS and affected individuals; the subcontractor notified the media on the CE’s behalf. OCR provided technical assistance regarding the HIPAA Rules."




"The covered entity (CE), Affiliates of Nexion Health, Inc., reported that an employee emailed the protected health information (PHI) of 1,027 individuals to the wrong recipients. The PHI involved included names, addresses, dates of birth, claims information, and other treatment information. The CE notified HHS, the affected individuals, the media, and provided substitute notice. In response to the breach, the CE retrained workforce members and implemented new technical safeguards to better protect its PHI."
"The covered entity (CE), Jewish Family and Community Services- East Bay, reported that it was the subject of a ransomware attack that affected the protected health information (PHI) of 987 individuals. The PHI involved included demographic information. The CE notified HHS and the affected individuals. In response to the breach, the CE provided complimentary credit monitoring services to the affected individuals and implemented additional administrative, technical, and security safeguards to better protect its PHI."


"The covered entity (CE), SomnoSleep Consultants, reported that its business associate (BA) experienced a compromise of their computer system that compromised the protected health information (PHI) of 913 individuals. The PHI involved included names, addresses, dates of birth, and clinical information. The CE notified HHS and the affected individuals. In response to the breach, the CE and BA implemented encryption technologies. OCR  provided the CE with technical assistance regarding the HIPAA Rules.
"

